Step,Baseline,CS_Mode,C_Mode,S_Mode
20000,-0.02922639,-0.05689261,-0.07424727,-0.039908182
40000,-0.017916517,-0.04881405,-0.01744706,-0.014590527
60000,-0.009733278,0.017095296,0.0106966905,-0.0063692504
80000,-0.0061322358,0.033626053,0.023238333,-0.0044807517
100000,-0.0040140334,0.03688524,0.026820013,-0.0035659708
120000,-0.0025015688,0.011946487,0.0052433787,-0.0030193229
140000,-0.0017990583,0.0074515482,-3.6391557e-05,-0.0033852784
160000,-0.002653936,0.007113849,-0.0006829946,-0.0011998324
180000,-0.0014970907,0.0091603985,-0.0019990264,-0.000106055246
200000,-0.00068563735,0.009603448,-0.0028193162,-0.0006199994
