Classification,Categories,Step,Baseline,CS_Mode,C_Mode
age,Old vs Young,20000,0.006307366,0.018048858,0.023461837
age,Old vs Young,40000,0.007937702,0.014623955,0.021983925
age,Old vs Young,60000,0.0044320864,0.01577885,0.017233972
age,Old vs Young,80000,0.005129445,0.014742054,0.01580479
age,Old vs Young,100000,0.0054576998,0.014451974,0.015113774
age,Old vs Young,120000,0.0061726524,0.01112072,0.010770357
age,Old vs Young,140000,0.0072330246,0.009266269,0.008337256
age,Old vs Young,160000,0.0070749437,0.009124479,0.009161463
age,Old vs Young,180000,0.006885081,0.008652837,0.008566476
age,Old vs Young,200000,0.006444082,0.00789275,0.008613073
attractive,Not Attractive vs Attractive,20000,0.013060084,0.01588074,0.024796063
attractive,Not Attractive vs Attractive,40000,0.013881955,0.018871285,0.029383134
attractive,Not Attractive vs Attractive,60000,0.015084744,0.026132246,0.025311789
attractive,Not Attractive vs Attractive,80000,0.017893082,0.023770526,0.022904167
attractive,Not Attractive vs Attractive,100000,0.019023757,0.022070812,0.021950133
attractive,Not Attractive vs Attractive,120000,0.019225474,0.018500306,0.01919486
attractive,Not Attractive vs Attractive,140000,0.019589482,0.016895536,0.017697243
attractive,Not Attractive vs Attractive,160000,0.019255051,0.016548837,0.01728979
attractive,Not Attractive vs Attractive,180000,0.018913737,0.01652425,0.017441569
attractive,Not Attractive vs Attractive,200000,0.018888729,0.016905453,0.01709093
bald,Hair vs Bald,20000,0.04392383,0.105760925,0.13619016
bald,Hair vs Bald,40000,0.03293865,0.05448726,0.057501532
bald,Hair vs Bald,60000,0.010342836,0.030198662,0.034575123
bald,Hair vs Bald,80000,0.01483535,0.023142109,0.027444053
bald,Hair vs Bald,100000,0.018014101,0.021020606,0.022833878
bald,Hair vs Bald,120000,0.022921214,0.025746785,0.02395752
bald,Hair vs Bald,140000,0.02455696,0.01868758,0.02194526
bald,Hair vs Bald,160000,0.02279775,0.019735323,0.021162046
bald,Hair vs Bald,180000,0.024934085,0.021270808,0.019582791
bald,Hair vs Bald,200000,0.026358407,0.021456558,0.021051219
bangs,No Bangs vs Bangs,20000,0.014946712,0.005087304,0.010222821
bangs,No Bangs vs Bangs,40000,0.007869057,0.017174354,0.026816456
bangs,No Bangs vs Bangs,60000,0.011298224,0.028944276,0.026970228
bangs,No Bangs vs Bangs,80000,0.0134540135,0.02772235,0.025859082
bangs,No Bangs vs Bangs,100000,0.013150951,0.026340786,0.025145603
bangs,No Bangs vs Bangs,120000,0.0130750025,0.019437,0.020172454
bangs,No Bangs vs Bangs,140000,0.012762161,0.021032088,0.019569263
bangs,No Bangs vs Bangs,160000,0.013213656,0.0213606,0.021120777
bangs,No Bangs vs Bangs,180000,0.01386582,0.020984672,0.021525718
bangs,No Bangs vs Bangs,200000,0.015976178,0.019316765,0.020533182
big_nose,Small Nose vs Big Nose,20000,0.020029418,0.03191022,0.037728682
big_nose,Small Nose vs Big Nose,40000,0.020187162,0.01883945,0.024084626
big_nose,Small Nose vs Big Nose,60000,0.018715464,0.01652125,0.0173515
big_nose,Small Nose vs Big Nose,80000,0.018618843,0.013139974,0.015025292
big_nose,Small Nose vs Big Nose,100000,0.019127129,0.011944361,0.013227723
big_nose,Small Nose vs Big Nose,120000,0.019184818,0.011541053,0.010853962
big_nose,Small Nose vs Big Nose,140000,0.019076034,0.013237192,0.012449756
big_nose,Small Nose vs Big Nose,160000,0.0194959,0.014709757,0.013628132
big_nose,Small Nose vs Big Nose,180000,0.019410016,0.015245925,0.014516114
big_nose,Small Nose vs Big Nose,200000,0.01923695,0.015995616,0.01415853
chubby,Not Chubby vs Chubby,20000,0.028787142,0.062563285,0.0755381
chubby,Not Chubby vs Chubby,40000,0.020514615,0.029787052,0.037980277
chubby,Not Chubby vs Chubby,60000,0.015198743,0.018128032,0.023413794
chubby,Not Chubby vs Chubby,80000,0.0131665645,0.014281832,0.020070555
chubby,Not Chubby vs Chubby,100000,0.013956681,0.012689711,0.016160682
chubby,Not Chubby vs Chubby,120000,0.0147069255,0.010332495,0.008453718
