Step,Baseline,CS_Mode,C_Mode
20000,0.0166175475,0.0135833885,0.01977352375
40000,0.01759082625,0.02704096775,0.0435659765
60000,0.01910610825,0.040690264749999996,0.037840917
80000,0.022105782625,0.0368532525,0.034356613
100000,0.0233454005,0.03301015075,0.032533062749999994
120000,0.023547421625,0.0243768335,0.025213839
140000,0.02388478225,0.0227811555,0.02298637375
160000,0.023605816749999998,0.022217234,0.02273679875
180000,0.02348380625,0.0220493115,0.022918528250000004
200000,0.024051157750000003,0.021820059000000003,0.022545447
